26.484282,1,3DC      ,Tx,d,8,00 80 00 00 00 00 00 00 ,Data0080000000000000
26.48456,CA, 1 Status,ta, ,a,#VALUE!,#VALUE!
26.484574,1,1B0003D1x,Rx,d,8,00 00 01 00 00 00 00 00 ,Data0000010000000000
26.484825,1,2A8      ,Tx,d,8,80 00 00 00 00 00 00 00 ,Data8000000000000000
26.485099,1,2A7      ,Tx,d,8,00 00 00 00 00 00 00 40 ,Data0000000000000040
26.485379,1,3DC      ,Tx,d,8,00 80 00 00 00 00 00 00 ,Data0080000000000000
26.485575,1,3C0      ,Tx,d,4,D3 01 00 00 ,DataD3010000
26.48589,1,12DD54D6x,Tx,d,8,00 10 00 00 00 00 00 00 ,Data0010000000000000
26.486154,1,26B      ,Tx,d,8,99 01 80 00 00 00 00 00 ,Data9901800000000000
26.486424,1,2A8      ,Tx,d,8,80 00 00 00 00 00 00 00 ,Data8000000000000000
26.486694,1,2A7      ,Tx,d,8,00 00 00 00 00 00 00 40 ,Data0000000000000040
26.486967,1,3DC      ,Tx,d,8,00 80 00 00 00 00 00 00 ,Data0080000000000000
26.487213,1,12B      ,Rx,d,8,00 00 00 00 00 00 00 00 ,Data0000000000000000
26.487463,1,2A8      ,Tx,d,8,80 00 00 00 00 00 00 00 ,Data8000000000000000
26.487715,1,230,Rx,d,8,00 00 00 00 00 00 00 00 ,Data0000000000000000
26.487965,1,2A7      ,Tx,d,8,00 00 00 00 00 00 00 40 ,Data0000000000000040
26.488211,1,331,Rx,d,8,00 00 00 00 00 00 00 00 ,Data0000000000000000
26.488463,1,3DC      ,Tx,d,8,00 80 00 00 00 00 00 00 ,Data0080000000000000
26.488595,1,336,Rx,d,2,FE 00 ,DataFE00
26.48877,1,3C0      ,Tx,d,4,23 02 00 00 ,Data23020000
26.489082,1,12DD54D6x,Tx,d,8,00 10 00 00 00 00 00 00 ,Data0010000000000000
26.489348,1,26B      ,Tx,d,8,21 02 80 00 00 00 00 00 ,Data2102800000000000
26.489616,1,5F0      ,Tx,d,8,CC 00 14 00 00 00 00 00 ,DataCC00140000000000
26.489887,1,2A8      ,Tx,d,8,80 00 00 00 00 00 00 00 ,Data8000000000000000
26.490157,1,2A7      ,Tx,d,8,00 00 00 00 00 00 00 40 ,Data0000000000000040
26.490429,1,3DC      ,Tx,d,8,00 80 00 00 00 00 00 00 ,Data0080000000000000
